gene,species,divergence_mya,has_ortholog,ortholog_type,target_gene,target_symbol,identity,source_identity
RAD51D,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000019141,ENSMODP00000023889,77.1341,77.1341
RAD51D,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000018841,ENSMUSP00000018985,82.9787,83.2317
RAD51D,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845010579,ENSCAFP00845014539,70.1333,80.1829
RAD51D,homo_sapiens,0,True,self,RAD51D,,100.0,
XRCC2,saccharomyces_cerevisiae,1000,False,none,,,0,0
XRCC2,drosophila_melanogaster,600,False,none,,,0,0
XRCC2,caenorhabditis_elegans,600,False,none,,,0,0
XRCC2,danio_rerio,450,True,ortholog_one2one,ENSDARG00000013933,ENSDARP00000019152,44.9045,50.3571
XRCC2,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000045924,ENSXETP00000119245,61.7544,62.8571
XRCC2,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010027158,ENSGALP00010040111,68.8172,68.5714
XRCC2,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000045998,ENSMODP00000046264,78.5714,78.5714
XRCC2,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000028933,ENSMUSP00000030773,78.4173,77.8571
XRCC2,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845011729,ENSCAFP00845016325,83.1541,82.8571
XRCC2,homo_sapiens,0,True,self,XRCC2,,100.0,
XRCC3,saccharomyces_cerevisiae,1000,True,ortholog_one2one,YDR004W,YDR004W,19.1304,25.4335
XRCC3,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0003480,FBpp0082392,31.3783,30.9249
XRCC3,caenorhabditis_elegans,600,False,none,,,0,0
XRCC3,danio_rerio,450,True,ortholog_one2one,ENSDARG00000017928,ENSDARP00000004619,51.7045,52.6012
XRCC3,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000023061,ENSXETP00000112921,56.0345,56.3584
XRCC3,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010016004,ENSGALP00010022306,54.712,60.4046
XRCC3,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000013528,ENSMODP00000016923,62.7168,62.7168
XRCC3,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000021287,ENSMUSP00000021715,72.7794,73.4104
XRCC3,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845019939,ENSCAFP00845027488,75.3582,76.0116
XRCC3,homo_sapiens,0,True,self,XRCC3,,100.0,
FANCA,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCA,drosophila_melanogaster,600,False,none,,,0,0
FANCA,caenorhabditis_elegans,600,False,none,,,0,0
FANCA,danio_rerio,450,True,ortholog_one2many,ENSDARG00000110103,ENSDARP00000152612,33.4093,30.2405
FANCA,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000033926,ENSXETP00000059102,41.1189,40.4124
FANCA,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010008083,ENSGALP00010010833,46.6491,48.7973
FANCA,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000003463,ENSMODP00000004236,57.1429,48.6598
FANCA,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000032815,ENSMUSP00000045217,66.852,66.1168
FANCA,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845001750,ENSCAFP00845002582,70.0069,69.622
FANCA,homo_sapiens,0,True,self,FANCA,,100.0,
FANCB,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCB,drosophila_melanogaster,600,False,none,,,0,0
FANCB,caenorhabditis_elegans,600,False,none,,,0,0
FANCB,danio_rerio,450,True,ortholog_one2one,ENSDARG00000067596,ENSDARP00000088088,21.9849,20.3725
FANCB,xenopus_tropicalis,350,True,ortholog_one2many,ENSXETG00000033137,ENSXETP00000059404,33.7572,33.993
FANCB,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010001632,ENSGALP00010002100,42.6759,43.0733
FANCB,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000017276,ENSMODP00000021557,54.7674,54.8312
FANCB,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000047757,ENSMUSP00000128141,49.4725,49.1269
FANCB,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845029118,ENSCAFP00845040439,73.0588,72.2934
FANCB,homo_sapiens,0,True,self,FANCB,,100.0,
FANCC,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCC,drosophila_melanogaster,600,False,none,,,0,0
FANCC,caenorhabditis_elegans,600,False,none,,,0,0
FANCC,danio_rerio,450,True,ortholog_one2one,ENSDARG00000055232,ENSDARP00000089800,29.0614,28.853
FANCC,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000017597,ENSXETP00000038199,39.9635,39.2473
FANCC,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010010393,ENSGALP00010014100,48.6679,49.1039
FANCC,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000002781,ENSMODP00000037707,55.2137,57.8853
FANCC,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000021461,ENSMUSP00000072788,67.7419,67.7419
FANCC,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845004921,ENSCAFP00845006942,70.7641,76.3441
FANCC,homo_sapiens,0,True,self,FANCC,,100.0,
FANCE,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCE,drosophila_melanogaster,600,False,none,,,0,0
FANCE,caenorhabditis_elegans,600,False,none,,,0,0
FANCE,danio_rerio,450,True,ortholog_one2one,ENSDARG00000068870,ENSDARP00000090524,31.4741,29.4776
FANCE,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000039261,ENSXETP00000085524,30.9771,27.7985
FANCE,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010027520,ENSGALP00010040811,36.7647,37.3134
FANCE,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000013771,ENSMODP00000060412,50.0882,52.9851
FANCE,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000007570,ENSMUSP00000110451,65.019,63.806
FANCE,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845006312,ENSCAFP00845008724,66.242,77.6119
FANCE,homo_sapiens,0,True,self,FANCE,,100.0,
FANCF,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCF,drosophila_melanogaster,600,False,none,,,0,0
FANCF,caenorhabditis_elegans,600,False,none,,,0,0
FANCF,danio_rerio,450,True,ortholog_one2one,ENSDARG00000019250,ENSDARP00000003084,28.2282,25.1337
FANCF,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000009606,ENSXETP00000104026,26.3006,24.3316
FANCF,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010023778,ENSGALP00010035159,34.5269,36.0963
FANCF,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000024521,ENSMODP00000034449,40,40.6417
FANCF,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000092118,ENSMUSP00000125812,50.4373,46.2567
FANCF,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845023242,ENSCAFP00845032126,35.8333,45.9893
FANCF,homo_sapiens,0,True,self,FANCF,,100.0,
FANCG,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCG,drosophila_melanogaster,600,False,none,,,0,0
FANCG,caenorhabditis_elegans,600,False,none,,,0,0
FANCG,danio_rerio,450,True,ortholog_one2one,ENSDARG00000024967,ENSDARP00000038408,27.5527,27.3312
FANCG,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000014153,ENSXETP00000030897,25.8025,33.6013
FANCG,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010011464,ENSGALP00010015687,34.5622,36.1736
FANCG,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000007759,ENSMODP00000009639,50,53.537
FANCG,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000028453,ENSMUSP00000030165,72.0706,72.1865
FANCG,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845005691,ENSCAFP00845007869,62.1588,80.5466
FANCG,homo_sapiens,0,True,self,FANCG,,100.0,
FANCL,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCL,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0037781,FBpp0081681,24.147,24.5333
FANCL,caenorhabditis_elegans,600,False,none,,,0,0
FANCL,danio_rerio,450,True,ortholog_one2one,ENSDARG00000007885,ENSDARP00000003498,58.4906,57.8667
FANCL,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000020481,ENSXETP00000087933,62.8866,65.0667
FANCL,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010017104,ENSGALP00010024170,58.2339,65.0667
FANCL,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000002105,ENSMODP00000002560,82.9333,82.9333
FANCL,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000004018,ENSMUSP00000004120,79.2,79.2
FANCL,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845012667,ENSCAFP00845017781,69.392,88.2667
FANCL,homo_sapiens,0,True,self,FANCL,,100.0,
FANCM,saccharomyces_cerevisiae,1000,True,ortholog_one2one,YIR002C,YIR002C,28.3988,13.7695
FANCM,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0038889,FBpp0306724,25.5205,18.5547
FANCM,caenorhabditis_elegans,600,False,none,,,0,0
FANCM,danio_rerio,450,True,ortholog_one2one,ENSDARG00000112136,ENSDARP00000153311,64.6465,9.375
FANCM,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000030986,ENSXETP00000085722,40.5478,44.0918
FANCM,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010018216,ENSGALP00010026171,43.4527,43.2617
FANCM,monodelphis_domestica,180,False,none,,,0,0
FANCM,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000055884,ENSMUSP00000054797,65.4132,64.5508
FANCM,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845001871,ENSCAFP00845002606,79.4333,79.3945
FANCM,homo_sapiens,0,True,self,FANCM,,100.0,
FANCD2,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCD2,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0038827,FBpp0083399,23.0717,23.501
FANCD2,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00012767,Y41E3.9a.1,17.8472,17.7119
FANCD2,danio_rerio,450,True,ortholog_one2one,ENSDARG00000053574,ENSDARP00000070083,53.1488,52.929
FANCD2,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000003617,ENSXETP00000056948,57.8547,57.6154
FANCD2,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010027361,ENSGALP00010040601,54.1303,55.5479
FANCD2,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000005440,ENSMODP00000006723,72.7273,71.1234
FANCD2,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000034023,ENSMUSP00000045667,75.1034,75.0517
FANCD2,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845008276,ENSCAFP00845011319,86.1284,86.0097
FANCD2,homo_sapiens,0,True,self,FANCD2,,100.0,
FANCI,saccharomyces_cerevisiae,1000,False,none,,,0,0
FANCI,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0033354,FBpp0087756,19.7839,22.0633
FANCI,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00020935,W02D3.10.1,16.7015,18.0723
FANCI,danio_rerio,450,True,ortholog_one2one,ENSDARG00000026224,ENSDARP00000116242,60.211,60.1657
FANCI,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000017742,ENSXETP00000087295,66.2623,65.8133
FANCI,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010016181,ENSGALP00010022478,66.1435,66.6416
FANCI,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000019568,ENSMODP00000024414,78.979,79.2169
FANCI,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000039187,ENSMUSP00000044931,80.4511,80.5723
FANCI,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845003918,ENSCAFP00845005668,88.6536,88.253
FANCI,homo_sapiens,0,True,self,FANCI,,100.0,
ERCC4,saccharomyces_cerevisiae,1000,True,ortholog_one2one,YPL022W,YPL022W,27,32.4236
ERCC4,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0002707,FBpp0070624,38.8137,40.7205
ERCC4,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00008140,C47D12.8.1,28.5562,29.1485
ERCC4,danio_rerio,450,True,ortholog_one2one,ENSDARG00000014161,ENSDARP00000018811,63.8826,61.7904
ERCC4,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000010991,ENSXETP00000093781,73.4914,74.4541
ERCC4,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010020422,ENSGALP00010029190,77.6301,76.5284
ERCC4,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000004840,ENSMODP00000005962,85.8417,84.0611
ERCC4,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000022545,ENSMUSP00000023206,85.9324,86.0262
ERCC4,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845011507,ENSCAFP00845015998,91.9214,91.9214
ERCC4,homo_sapiens,0,True,self,ERCC4,,100.0,
PALB2,saccharomyces_cerevisiae,1000,False,none,,,0,0
PALB2,drosophila_melanogaster,600,False,none,,,0,0
PALB2,caenorhabditis_elegans,600,False,none,,,0,0
PALB2,danio_rerio,450,True,ortholog_one2one,ENSDARG00000076716,ENSDARP00000100652,23.3115,9.02192
PALB2,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000031275,ENSXETP00000080422,23.5709,28.1619
PALB2,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010017080,ENSGALP00010024139,31.0216,35.0759
PALB2,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000006654,ENSMODP00000035428,48,48.5666
PALB2,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000044702,ENSMUSP00000095675,63.1341,58.769
PALB2,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845001625,ENSCAFP00845002274,71.2971,71.8381
PALB2,homo_sapiens,0,True,self,PALB2,,100.0,
BRIP1,saccharomyces_cerevisiae,1000,False,none,,,0,0
BRIP1,drosophila_melanogaster,600,False,none,,,0,0
BRIP1,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00001049,F33H2.1.1,27.2635,21.4572
BRIP1,danio_rerio,450,True,ortholog_one2one,ENSDARG00000074410,ENSDARP00000102913,48.5197,47.2378
BRIP1,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000010720,ENSXETP00000064759,51.7494,50.9207
BRIP1,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010029319,ENSGALP00010043598,55.1394,55.4043
BRIP1,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000014258,ENSMODP00000017819,61.5889,67.6541
BRIP1,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000034329,ENSMUSP00000043108,74.3612,69.8959
BRIP1,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845027066,ENSCAFP00845037460,83.6685,83.2666
BRIP1,homo_sapiens,0,True,self,BRIP1,,100.0,
SLX4,saccharomyces_cerevisiae,1000,False,none,,,0,0
SLX4,drosophila_melanogaster,600,False,none,,,0,0
SLX4,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00011415,T04A8.15.1,20.4735,8.01527
SLX4,danio_rerio,450,True,ortholog_one2many,ENSDARG00000092927,ENSDARP00000119409,42.0118,3.87132
SLX4,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000010319,ENSXETP00000022713,31.5044,29.1167
SLX4,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010016341,ENSGALP00010022679,34.023,32.2792
SLX4,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000016412,ENSMODP00000020500,43.8825,44.0022
SLX4,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000039738,ENSMUSP00000038871,60.3834,51.5267
SLX4,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845002090,ENSCAFP00845002881,64.1662,60.6325
SLX4,homo_sapiens,0,True,self,SLX4,,100.0,
BRCA1,saccharomyces_cerevisiae,1000,False,none,,,0,0
BRCA1,drosophila_melanogaster,600,False,none,,,0,0
BRCA1,caenorhabditis_elegans,600,True,ortholog_one2many,WBGene00018327,F42A6.5.1,24.5098,1.34192
BRCA1,danio_rerio,450,False,none,,,0,0
BRCA1,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000024564,ENSXETP00000063009,25.6193,22.759
BRCA1,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010024722,ENSGALP00010037124,30.3188,28.073
BRCA1,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000015150,ENSMODP00000018933,47.2283,46.6452
BRCA1,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000017146,ENSMUSP00000017290,57.6711,56.0923
BRCA1,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845006070,ENSCAFP00845008432,73.8552,74.4498
BRCA1,homo_sapiens,0,True,self,BRCA1,,100.0,
BRCA2,saccharomyces_cerevisiae,1000,False,none,,,0,0
BRCA2,drosophila_melanogaster,600,False,none,,,0,0
BRCA2,caenorhabditis_elegans,600,False,none,,,0,0
BRCA2,danio_rerio,450,True,ortholog_one2one,ENSDARG00000079015,ENSDARP00000099674,24.1475,20.3043
BRCA2,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000017011,ENSXETP00000060681,30.5744,28.9643
BRCA2,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010006740,ENSGALP00010009242,32.2049,32.007
BRCA2,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000009516,ENSMODP00000033276,45.9085,44.646
BRCA2,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000041147,ENSMUSP00000038576,58.6362,57.1094
BRCA2,canis_lupus_familiaris,85,False,none,,,0,0
BRCA2,homo_sapiens,0,True,self,BRCA2,,100.0,
PARP1,saccharomyces_cerevisiae,1000,False,none,,,0,0
PARP1,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0010247,FBpp0112608,43.0583,42.2091
PARP1,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00004049,Y71F9AL.18a.2,35.0265,32.643
PARP1,danio_rerio,450,True,ortholog_one2one,ENSDARG00000019529,ENSDARP00000008364,71.4709,71.4004
PARP1,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000022610,ENSXETP00000081175,74.926,74.8521
PARP1,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010017496,ENSGALP00010024778,75.4554,77.6134
PARP1,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000006076,ENSMODP00000007535,84.7976,84.714
PARP1,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000026496,ENSMUSP00000027777,92.5049,92.5049
PARP1,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845008325,ENSCAFP00845011348,94.3787,94.3787
PARP1,homo_sapiens,0,True,self,PARP1,,100.0,
PARP2,saccharomyces_cerevisiae,1000,False,none,,,0,0
PARP2,drosophila_melanogaster,600,False,none,,,0,0
PARP2,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00004050,E02H1.4.1,27.1375,25.614
PARP2,danio_rerio,450,True,ortholog_one2one,ENSDARG00000079202,ENSDARP00000118376,52.8505,60.1754
PARP2,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000001748,ENSXETP00000088425,45.2196,61.4035
PARP2,gallus_gallus,300,False,none,,,0,0
PARP2,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000007171,ENSMODP00000008892,57.8523,75.614
PARP2,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000036023,ENSMUSP00000048877,86.941,85.2632
PARP2,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845021742,ENSCAFP00845030058,86.5517,88.0702
PARP2,homo_sapiens,0,True,self,PARP2,,100.0,
CDK4,saccharomyces_cerevisiae,1000,False,none,,,0,0
CDK4,drosophila_melanogaster,600,False,none,,,0,0
CDK4,caenorhabditis_elegans,600,False,none,,,0,0
CDK4,danio_rerio,450,True,ortholog_one2one,ENSDARG00000087937,ENSDARP00000087219,71.3805,69.967
CDK4,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000035239,ENSXETP00000063005,71.1599,74.9175
CDK4,gallus_gallus,300,False,none,,,0,0
CDK4,monodelphis_domestica,180,False,none,,,0,0
CDK4,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000006728,ENSMUSP00000006911,94.7195,94.7195
CDK4,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845009098,ENSCAFP00845012474,87.6238,58.4158
CDK4,homo_sapiens,0,True,self,CDK4,,100.0,
CDK6,saccharomyces_cerevisiae,1000,False,none,,,0,0
CDK6,drosophila_melanogaster,600,False,none,,,0,0
CDK6,caenorhabditis_elegans,600,False,none,,,0,0
CDK6,danio_rerio,450,True,ortholog_one2one,ENSDARG00000070228,ENSDARP00000126132,79.6296,79.1411
CDK6,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000018529,ENSXETP00000040108,84.6847,86.5031
CDK6,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010005004,ENSGALP00010006583,91.1043,91.1043
CDK6,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000010772,ENSMODP00000048851,70.7692,84.6626
CDK6,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000040274,ENSMUSP00000126024,96.319,96.319
CDK6,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845013226,ENSCAFP00845018501,98.1595,98.1595
CDK6,homo_sapiens,0,True,self,CDK6,,100.0,
ESR1,saccharomyces_cerevisiae,1000,False,none,,,0,0
ESR1,drosophila_melanogaster,600,True,ortholog_one2many,FBgn0035849,FBpp0076448,24.5968,20.5042
ESR1,caenorhabditis_elegans,600,False,none,,,0,0
ESR1,danio_rerio,450,True,ortholog_one2one,ENSDARG00000004111,ENSDARP00000082277,48.5061,46.3866
ESR1,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000012364,ENSXETP00000027035,71.2821,70.084
ESR1,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010005186,ENSGALP00010006850,71.275,77.9832
ESR1,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000016719,ENSMODP00000020873,86.7572,85.8824
ESR1,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000019768,ENSMUSP00000101215,88.9816,89.5798
ESR1,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845000028,ENSCAFP00845000028,89.7993,90.2521
ESR1,homo_sapiens,0,True,self,ESR1,,100.0,
