channel,gene,Yeast (1000Mya),Fly (600Mya),Worm (600Mya),Zebrafish (450Mya),Frog (350Mya),Chicken (300Mya),Opossum (180Mya),Mouse (90Mya),Dog (85Mya),Human (0Mya)
Immune,HLA-C,-,-,-,29%,-,31%,57%,-,-,100%
Immune,JAK1,-,-,-,63%,77%,81%,90%,95%,95%,100%
Immune,JAK2,-,-,-,69%,78%,84%,92%,94%,95%,100%
Immune,PDCD1LG2,-,-,-,16%,27%,29%,44%,70%,56%,100%
Immune,STAT1,-,-,24%,62%,78%,80%,87%,94%,93%,100%
PI3K_Growth,AKT1,-,-,-,90%,87%,87%,96%,98%,68%,100%
PI3K_Growth,AKT2,-,-,-,86%,87%,91%,83%,98%,76%,100%
PI3K_Growth,AKT3,-,-,-,96%,-,100%,100%,100%,100%,100%
PI3K_Growth,BRAF,-,-,-,78%,69%,89%,95%,88%,93%,100%
PI3K_Growth,EGFR,-,-,-,58%,66%,75%,83%,90%,91%,100%
PI3K_Growth,ERBB2,-,-,-,55%,57%,69%,80%,88%,92%,100%
PI3K_Growth,ERBB3,-,-,-,48%,58%,67%,86%,91%,95%,100%
PI3K_Growth,FGFR1,-,-,-,73%,80%,89%,97%,98%,95%,100%
PI3K_Growth,FGFR2,-,-,-,76%,70%,91%,93%,95%,84%,100%
PI3K_Growth,FGFR3,-,-,-,71%,72%,74%,83%,89%,74%,100%
PI3K_Growth,HRAS,-,78%,76%,95%,76%,98%,97%,100%,88%,100%
PI3K_Growth,IGF1R,-,-,-,66%,77%,86%,83%,96%,93%,100%
PI3K_Growth,KRAS,-,-,-,88%,90%,93%,93%,90%,89%,100%
PI3K_Growth,MAP2K1,24%,62%,53%,88%,92%,79%,97%,99%,90%,100%
PI3K_Growth,MAP2K2,25%,62%,55%,86%,-,92%,66%,94%,83%,100%
PI3K_Growth,MAP3K1,-,-,-,73%,77%,85%,85%,91%,94%,100%
PI3K_Growth,MAP3K13,-,-,-,65%,73%,80%,84%,90%,93%,100%
PI3K_Growth,MET,-,28%,-,57%,62%,73%,85%,90%,96%,100%
PI3K_Growth,MTOR,-,56%,-,89%,88%,97%,98%,99%,98%,100%
PI3K_Growth,NF1,28%,57%,-,88%,91%,95%,93%,98%,99%,100%
PI3K_Growth,NF2,-,46%,31%,83%,82%,95%,96%,98%,99%,100%
PI3K_Growth,NRAS,-,-,-,91%,-,97%,78%,99%,81%,100%
PI3K_Growth,PIK3CA,-,12%,15%,92%,92%,96%,97%,99%,100%,100%
PI3K_Growth,PIK3R1,-,-,-,79%,82%,89%,90%,96%,96%,100%
PI3K_Growth,PTEN,18%,32%,-,83%,90%,95%,-,-,100%,100%
PI3K_Growth,RAF1,-,-,-,79%,85%,92%,-,50%,96%,100%
PI3K_Growth,STK11,-,40%,27%,82%,80%,87%,88%,90%,92%,100%
PI3K_Growth,TSC1,-,23%,-,48%,61%,75%,87%,87%,89%,100%
PI3K_Growth,TSC2,-,31%,-,66%,68%,81%,85%,91%,91%,100%
TissueArchitecture,APC,-,35%,26%,70%,76%,85%,84%,91%,93%,100%
TissueArchitecture,AXIN1,-,-,-,66%,71%,75%,79%,87%,87%,100%
TissueArchitecture,AXIN2,-,-,-,65%,60%,80%,82%,90%,93%,100%
TissueArchitecture,CDH1,36%,71%,-,92%,30%,98%,98%,98%,82%,100%
TissueArchitecture,CDH2,-,-,-,71%,79%,85%,88%,97%,98%,100%
TissueArchitecture,CTNNB1,-,-,-,95%,-,100%,100%,100%,100%,100%
TissueArchitecture,FBXW7,14%,33%,-,94%,81%,93%,77%,93%,93%,100%
TissueArchitecture,GJA1,-,-,-,81%,87%,94%,98%,97%,98%,100%
TissueArchitecture,GJB2,-,-,-,56%,66%,77%,93%,93%,99%,100%
TissueArchitecture,NOTCH1,-,-,-,71%,75%,80%,81%,92%,90%,100%
TissueArchitecture,NOTCH2,-,-,-,64%,69%,76%,87%,92%,87%,100%
TissueArchitecture,NOTCH3,-,-,-,57%,59%,-,68%,91%,89%,100%
TissueArchitecture,NOTCH4,-,20%,23%,38%,4%,-,-,-,-,100%
TissueArchitecture,SMAD2,-,-,-,-,99%,99%,100%,100%,100%,100%
TissueArchitecture,SMAD3,-,-,-,97%,82%,93%,99%,100%,100%,100%
TissueArchitecture,SMAD4,-,15%,27%,88%,92%,86%,98%,99%,99%,100%
TissueArchitecture,TGFBR1,-,-,-,80%,78%,90%,82%,96%,98%,100%
TissueArchitecture,TGFBR2,-,-,-,67%,48%,63%,81%,92%,94%,100%
