gene,channel,species,divergence_mya,has_ortholog,ortholog_type,target_gene,target_symbol,identity,source_identity
FLT1,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
FLT1,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
FLT1,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000019371,ENSDARP00000002466,50.7075,48.2063
FLT1,Angiogenesis,xenopus_tropicalis,350,False,none,,,0,0
FLT1,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010005282,ENSGALP00010007112,66.7875,68.8341
FLT1,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000009128,ENSMODP00000011380,82.3266,82.5112
FLT1,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000029648,ENSMUSP00000031653,81.9955,81.6891
FLT1,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845023188,ENSCAFP00845032381,89.9776,89.9103
FLT1,Angiogenesis,homo_sapiens,0,True,self,FLT1,,100.0,0
FLT4,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
FLT4,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
FLT4,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
FLT4,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000104453,ENSDARP00000133227,53.5088,53.7051
FLT4,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000008399,ENSXETP00000095940,61.2696,63.0227
FLT4,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010016867,ENSGALP00010023668,68.6459,69.5525
FLT4,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000003918,ENSMODP00000046934,74.5699,73.1475
FLT4,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000020357,ENSMUSP00000020617,87.4541,87.4541
FLT4,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845006015,ENSCAFP00845008620,86.2661,88.4813
FLT4,Angiogenesis,homo_sapiens,0,True,self,FLT4,,100.0,0
HIF1A,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
HIF1A,Angiogenesis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0262139,FBpp0303179,17.7104,21.9128
HIF1A,Angiogenesis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00001851,F38A6.3b.1,23.0236,20.0969
HIF1A,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000034293,ENSDARP00000004329,61.39,57.7482
HIF1A,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000014449,ENSXETP00000031610,70.4774,67.9177
HIF1A,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010017810,ENSGALP00010025535,77.2563,77.724
HIF1A,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000008760,ENSMODP00000010901,83.7349,84.1404
HIF1A,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000021109,ENSMUSP00000021530,89.3541,90.4358
HIF1A,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845023223,ENSCAFP00845032269,95.8688,95.5206
HIF1A,Angiogenesis,homo_sapiens,0,True,self,HIF1A,,100.0,0
KDR,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
KDR,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
KDR,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
KDR,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000017321,ENSDARP00000049203,48.7841,48.8201
KDR,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000021061,ENSXETP00000096886,60.8371,60.0295
KDR,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010013498,ENSGALP00010019244,72.4777,72.0501
KDR,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000020673,ENSMODP00000025863,82.1349,81.7109
KDR,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000062960,ENSMUSP00000109144,86.6171,85.9145
KDR,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845012083,ENSCAFP00845016889,93.0627,92.9941
KDR,Angiogenesis,homo_sapiens,0,True,self,KDR,,100.0,0
TEK,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
TEK,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
TEK,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
TEK,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000028663,ENSDARP00000055680,52.509,52.1352
TEK,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000009382,ENSXETP00000101559,66.4596,66.637
TEK,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010006538,ENSGALP00010009064,73.6702,73.9324
TEK,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000004269,ENSMODP00000005260,86.21,86.21
TEK,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000006386,ENSMUSP00000099862,92.9653,92.8826
TEK,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845018055,ENSCAFP00845025176,94.3262,94.6619
TEK,Angiogenesis,homo_sapiens,0,True,self,TEK,,100.0,0
VEGFA,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
VEGFA,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
VEGFA,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
VEGFA,Angiogenesis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000103542,ENSDARP00000133415,59.0426,28.1013
VEGFA,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000016375,ENSXETP00000035746,41.5152,34.6835
VEGFA,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010019716,ENSGALP00010028180,31.8108,49.3671
VEGFA,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000018950,ENSMODP00000023645,59.7753,67.3418
VEGFA,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000023951,ENSMUSP00000115883,84.4388,83.7975
VEGFA,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845010533,ENSCAFP00845014594,60.6947,84.0506
VEGFA,Angiogenesis,homo_sapiens,0,True,self,VEGFA,,100.0,0
VEGFB,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
VEGFB,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
VEGFB,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
VEGFB,Angiogenesis,danio_rerio,450,True,ortholog_many2many,ENSDARG00000092480,ENSDARP00000114926,34.0659,14.9758
VEGFB,Angiogenesis,xenopus_tropicalis,350,False,none,,,0,0
VEGFB,Angiogenesis,gallus_gallus,300,False,none,,,0,0
VEGFB,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000043259,ENSMODP00000060256,16.9014,46.3768
VEGFB,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000024962,ENSMUSP00000120860,68.617,62.3188
VEGFB,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845030726,ENSCAFP00845042888,41.5094,63.7681
VEGFB,Angiogenesis,homo_sapiens,0,True,self,VEGFB,,100.0,0
VEGFC,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
VEGFC,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
VEGFC,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
VEGFC,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000069640,ENSDARP00000092263,58.0808,54.8926
VEGFC,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000002447,ENSXETP00000005233,70.7617,68.7351
VEGFC,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010003259,ENSGALP00010004571,61.079,75.6563
VEGFC,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000003799,ENSMODP00000004650,82.6211,69.2124
VEGFC,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000031520,ENSMUSP00000033919,86.2651,85.4415
VEGFC,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845018800,ENSCAFP00845026125,89.9761,89.9761
VEGFC,Angiogenesis,homo_sapiens,0,True,self,VEGFC,,100.0,0
VHL,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
VHL,Angiogenesis,drosophila_melanogaster,600,True,ortholog_one2many,FBgn0041174,FBpp0087216,20.2247,16.9014
VHL,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
VHL,Angiogenesis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000070617,ENSDARP00000094654,45.7143,37.5587
VHL,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2many,ENSXETG00000001448,ENSXETP00000003053,58.0838,45.5399
VHL,Angiogenesis,gallus_gallus,300,True,ortholog_one2many,ENSGALG00010019006,ENSGALP00010027402,56.7568,49.2958
VHL,Angiogenesis,monodelphis_domestica,180,True,ortholog_many2many,ENSMODG00000028514,ENSMODP00000006739,73.4177,54.4601
VHL,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000033933,ENSMUSP00000039418,83.9779,71.3615
VHL,Angiogenesis,canis_lupus_familiaris,85,False,none,,,0,0
VHL,Angiogenesis,homo_sapiens,0,True,self,VHL,,100.0,0
APAF1,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
APAF1,Apoptosis,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0263864,FBpp0086122,17.0833,19.7115
APAF1,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
APAF1,Apoptosis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000021239,ENSDARP00000008347,55.115,55.6891
APAF1,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000006695,ENSXETP00000014654,61.5385,61.5385
APAF1,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010010618,ENSGALP00010014317,68.4169,68.9103
APAF1,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000007679,ENSMODP00000060445,75.1368,77.0032
APAF1,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000019979,ENSMUSP00000020157,87.3499,87.4199
APAF1,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845027232,ENSCAFP00845037757,90.8,90.9455
APAF1,Apoptosis,homo_sapiens,0,True,self,APAF1,,100.0,0
BAD,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BAD,Apoptosis,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0039752,FBpp0084935,8.50202,25
BAD,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
BAD,Apoptosis,danio_rerio,450,False,none,,,0,0
BAD,Apoptosis,xenopus_tropicalis,350,False,none,,,0,0
BAD,Apoptosis,gallus_gallus,300,False,none,,,0,0
BAD,Apoptosis,monodelphis_domestica,180,False,none,,,0,0
BAD,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000024959,ENSMUSP00000025910,62.2549,75.5952
BAD,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845030649,ENSCAFP00845042735,80.8383,80.3571
BAD,Apoptosis,homo_sapiens,0,True,self,BAD,,100.0,0
BAK1,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BAK1,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BAK1,Apoptosis,caenorhabditis_elegans,600,True,ortholog_one2many,WBGene00000423,T07C4.8.1,12.1429,16.1137
BAK1,Apoptosis,danio_rerio,450,False,none,,,0,0
BAK1,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000038338,ENSXETP00000116026,36.2869,40.7583
BAK1,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010027612,ENSGALP00010040926,46.7153,60.6635
BAK1,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000014089,ENSMODP00000017616,74.0196,71.564
BAK1,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000057789,ENSMUSP00000077757,77.512,76.7773
BAK1,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845023547,ENSCAFP00845032598,77.3663,89.0995
BAK1,Apoptosis,homo_sapiens,0,True,self,BAK1,,100.0,0
BAX,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BAX,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BAX,Apoptosis,caenorhabditis_elegans,600,True,ortholog_one2many,WBGene00000423,T07C4.8.1,12.1429,17.7083
BAX,Apoptosis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000020623,ENSDARP00000023687,49.4792,49.4792
BAX,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000023523,ENSXETP00000084349,52.2727,59.8958
BAX,Apoptosis,gallus_gallus,300,False,none,,,0,0
BAX,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000013726,ENSMODP00000048795,54.0541,83.3333
BAX,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000003873,ENSMUSP00000033093,92.1875,92.1875
BAX,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845000500,ENSCAFP00845000605,97.3958,97.3958
BAX,Apoptosis,homo_sapiens,0,True,self,BAX,,100.0,0
BCL2,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BCL2,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BCL2,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
BCL2,Apoptosis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000089109,ENSDARP00000124838,47.8469,41.841
BCL2,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000035771,ENSXETP00000077361,53.2423,65.272
BCL2,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010011843,ENSGALP00010016205,74.6781,72.8033
BCL2,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000005242,ENSMODP00000006458,85.6383,67.364
BCL2,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000057329,ENSMUSP00000108371,91.5254,90.3766
BCL2,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845002725,ENSCAFP00845003877,91.9492,90.795
BCL2,Apoptosis,homo_sapiens,0,True,self,BCL2,,100.0,0
BCL2L1,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BCL2L1,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BCL2L1,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
BCL2L1,Apoptosis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000008434,ENSDARP00000027919,51.2605,52.3605
BCL2L1,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000043454,ENSXETP00000116155,55.7214,48.0687
BCL2L1,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010014066,ENSGALP00010019864,74.2358,72.9614
BCL2L1,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000019490,ENSMODP00000024313,88.5463,86.2661
BCL2L1,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000007659,ENSMUSP00000105445,97.8541,97.8541
BCL2L1,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845018778,ENSCAFP00845025973,100,100
BCL2L1,Apoptosis,homo_sapiens,0,True,self,BCL2L1,,100.0,0
BCL2L11,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BCL2L11,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BCL2L11,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
BCL2L11,Apoptosis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000079144,ENSDARP00000097551,25,22.2222
BCL2L11,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000042001,ENSXETP00000107160,55.1546,54.0404
BCL2L11,Apoptosis,gallus_gallus,300,False,none,,,0,0
BCL2L11,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000006716,ENSMODP00000008328,78.5366,81.3131
BCL2L11,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000027381,ENSMUSP00000105970,87.7551,86.8687
BCL2L11,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845009241,ENSCAFP00845012654,42.5743,65.1515
BCL2L11,Apoptosis,homo_sapiens,0,True,self,BCL2L11,,100.0,0
BID,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BID,Apoptosis,drosophila_melanogaster,600,False,none,,,0,0
BID,Apoptosis,caenorhabditis_elegans,600,False,none,,,0,0
BID,Apoptosis,danio_rerio,450,False,none,,,0,0
BID,Apoptosis,xenopus_tropicalis,350,False,none,,,0,0
BID,Apoptosis,gallus_gallus,300,False,none,,,0,0
BID,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000018457,ENSMODP00000023012,33.7165,45.1282
BID,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000004446,ENSMUSP00000004560,64.1026,64.1026
BID,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2many,ENSCAFG00845030659,ENSCAFP00845042749,64.6154,64.6154
BID,Apoptosis,homo_sapiens,0,True,self,BID,,100.0,0
BIRC5,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
BIRC5,Apoptosis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0015247,FBpp0086431,8.63454,30.2817
BIRC5,Apoptosis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000250,C50B8.2.1,11.6883,25.3521
BIRC5,Apoptosis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000075621,ENSDARP00000101794,37.3684,50
BIRC5,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000009983,ENSXETP00000108477,42.4419,51.4085
BIRC5,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010018655,ENSGALP00010026959,59.1549,59.1549
BIRC5,Apoptosis,monodelphis_domestica,180,True,ortholog_one2many,ENSMODG00000041409,ENSMODP00000041468,70.8661,63.3803
BIRC5,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000017716,ENSMUSP00000079124,82.8571,81.6901
BIRC5,Apoptosis,canis_lupus_familiaris,85,False,none,,,0,0
BIRC5,Apoptosis,homo_sapiens,0,True,self,BIRC5,,100.0,0
CASP3,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
CASP3,Apoptosis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0019972,FBpp0084848,31.5634,38.6282
CASP3,Apoptosis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000821,Y47H9C.6a.1,21.5827,10.8303
CASP3,Apoptosis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000017905,ENSDARP00000006831,54.2553,55.2347
CASP3,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000045371,ENSXETP00000113635,52.7027,56.3177
CASP3,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010007067,ENSGALP00010009451,63.6042,64.9819
CASP3,Apoptosis,monodelphis_domestica,180,True,ortholog_one2many,ENSMODG00000004473,ENSMODP00000005560,77.8986,77.6173
CASP3,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000031628,ENSMUSP00000147767,86.6426,86.6426
CASP3,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845015288,ENSCAFP00845021487,81.7881,89.1697
CASP3,Apoptosis,homo_sapiens,0,True,self,CASP3,,100.0,0
CASP8,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
CASP8,Apoptosis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0028381,FBpp0082755,30.1948,19.4154
CASP8,Apoptosis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000821,Y47H9C.6a.1,21.5827,6.26305
CASP8,Apoptosis,danio_rerio,450,False,none,,,0,0
CASP8,Apoptosis,xenopus_tropicalis,350,False,none,,,0,0
CASP8,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010024903,ENSGALP00010037578,53.3203,56.9937
CASP8,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000015183,ENSMODP00000018969,60.3814,59.499
CASP8,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000026029,ENSMUSP00000140546,64.2,67.0146
CASP8,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845030024,ENSCAFP00845041772,76.5432,77.6618
CASP8,Apoptosis,homo_sapiens,0,True,self,CASP8,,100.0,0
CASP9,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
CASP9,Apoptosis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0028381,FBpp0082755,26.6234,19.7115
CASP9,Apoptosis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000821,Y47H9C.6a.1,24.4604,8.17308
CASP9,Apoptosis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000004325,ENSDARP00000047019,44.9541,47.1154
CASP9,Apoptosis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000046355,ENSXETP00000113156,51.0843,50.9615
CASP9,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010020932,ENSGALP00010029861,44.6316,50.9615
CASP9,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000003612,ENSMODP00000031781,57.0776,60.0962
CASP9,Apoptosis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000028914,ENSMUSP00000030747,71.8062,78.3654
CASP9,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845000379,ENSCAFP00845000432,56.0396,68.0288
CASP9,Apoptosis,homo_sapiens,0,True,self,CASP9,,100.0,0
CYCS,Apoptosis,saccharomyces_cerevisiae,1000,True,ortholog_one2many,YJR048W,YJR048W,59.633,61.9048
CYCS,Apoptosis,drosophila_melanogaster,600,True,ortholog_one2many,FBgn0086907,FBpp0080445,65.7143,65.7143
CYCS,Apoptosis,caenorhabditis_elegans,600,True,ortholog_one2many,WBGene00017121,E04A4.7.2,52.2523,55.2381
CYCS,Apoptosis,danio_rerio,450,False,none,,,0,0
CYCS,Apoptosis,xenopus_tropicalis,350,False,none,,,0,0
CYCS,Apoptosis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010002409,ENSGALP00010003375,47.541,55.2381
CYCS,Apoptosis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000013402,ENSMODP00000058499,90.4762,90.4762
CYCS,Apoptosis,mus_musculus,90,True,ortholog_one2many,ENSMUSG00000058927,ENSMUSP00000072829,91.4286,91.4286
CYCS,Apoptosis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845010713,ENSCAFP00845014758,89.5238,89.5238
CYCS,Apoptosis,homo_sapiens,0,True,self,CYCS,,100.0,0
FAS,Apoptosis,saccharomyces_cerevisiae,1000,False,none,,,0,0
